AncId, Desc1, Desc2, Branch Length 1, Branch Length 2
186, ASV 1907 Root Eukaryota Hacrobia Cryptophyta Cryptophyceae Pyrenomonadales Pyrenomonadaceae Rhodomonas Rhodomonas sp., 185, 0.0000000000, 0.0000000000
187, ASV 38 Root Eukaryota Hacrobia Haptophyta Prymnesiophyceae Phaeocystales Phaeocystaceae Phaeocystis Phaeocystis globosa, ASV 58 Root Eukaryota Hacrobia Haptophyta Prymnesiophyceae Phaeocystales Phaeocystaceae Phaeocystis Phaeocystis globosa, 0.0000000000, 0.0000000000
188, ASV 49 Root Eukaryota Hacrobia Haptophyta Prymnesiophyceae Phaeocystales Phaeocystaceae Phaeocystis Phaeocystis globosa, 187, 0.0000000000, 0.0000000000
189, ASV 1436 Root Eukaryota Archaeplastida Chlorophyta Mamiellophyceae Mamiellales Mamiellaceae Micromonas Micromonas bravo B2, 172, 0.0000000000, 0.0000000000
190, ASV 736 Root Eukaryota Archaeplastida Chlorophyta Mamiellophyceae Mamiellales Mamiellaceae Micromonas Micromonas pusilla, ASV 885 Root Eukaryota Archaeplastida Chlorophyta Mamiellophyceae Mamiellales Mamiellaceae Micromonas Micromonas pusilla, 0.0000000000, 0.0000000000
191, 190, 181, 0.0000000000, 0.0000000000
192, ASV 1862 Root Eukaryota Archaeplastida Chlorophyta Mamiellophyceae Dolichomastigales Crustomastigaceae Crustomastigaceae X Crustomastigaceae X sp., ASV 1997 Root Eukaryota Archaeplastida Chlorophyta Mamiellophyceae Dolichomastigales Crustomastigaceae Crustomastigaceae X Crustomastigaceae X sp., 0.0000000000, 0.0000000000
193, ASV 2098 Root Eukaryota Archaeplastida Chlorophyta Mamiellophyceae Dolichomastigales Crustomastigaceae Crustomastigaceae X Crustomastigaceae X sp., 192, 0.0000000000, 0.0000000000
194, ASV 323 Root Eukaryota Hacrobia Haptophyta Prymnesiophyceae Prymnesiales Chrysochromulinaceae Chrysochromulina Chrysochromulina sp., ASV 455 Root Eukaryota Hacrobia Haptophyta Prymnesiophyceae Prymnesiales Prymnesiaceae Haptolina Haptolina sp., 0.0000000000, 0.0000000000
195, ASV 413 Root Eukaryota Hacrobia Katablepharidophyta Katablepharidaceae Katablepharidales Katablepharidales X Leucocryptos Leucocryptos marina, ASV 539 Root Eukaryota Hacrobia Katablepharidophyta Katablepharidaceae Katablepharidales Katablepharidales X Leucocryptos Leucocryptos marina, 0.0000000000, 0.0000000000
196, ASV 783 Root Eukaryota Hacrobia Katablepharidophyta Katablepharidaceae Katablepharidales Katablepharidales X Leucocryptos Leucocryptos marina, 195, 0.0000000000, 0.0000000000
197, ASV 30 Root Eukaryota Archaeplastida Chlorophyta Trebouxiophyceae Chlorellales Chlorellales X Picochlorum Picochlorum sp., ASV 51 Root Eukaryota Archaeplastida Chlorophyta Trebouxiophyceae Chlorellales Chlorellales X Picochlorum Picochlorum sp., 0.0000000000, 0.0000000000
198, ASV 59 Root Eukaryota Archaeplastida Chlorophyta Trebouxiophyceae Chlorellales Chlorellales X Picochlorum Picochlorum sp., 197, 0.0000000000, 0.0000000000
199, 159, 198, 0.0000000000, 0.0000000000
200, ASV 66 Root Eukaryota Hacrobia Cryptophyta Cryptophyceae Cryptomonadales Cryptomonadales X Teleaulax Teleaulax gracilis, ASV 99 Root Eukaryota Hacrobia Cryptophyta Cryptophyceae Cryptomonadales Cryptomonadales X Teleaulax Teleaulax gracilis, 0.0000000000, 0.0000000000
201, ASV 89 Root Eukaryota Hacrobia Cryptophyta Cryptophyceae Cryptomonadales Cryptomonadales X Teleaulax Teleaulax gracilis, 200, 0.0000000000, 0.0000000000
202, ASV 218 Root Eukaryota Stramenopiles Ochrophyta Bacillariophyta Bacillariophyta X Radial-centric-basal-Coscinodiscophyceae Guinardia Guinardia delicatula, ASV 274 Root Eukaryota Stramenopiles Ochrophyta Bacillariophyta Bacillariophyta X Radial-centric-basal-Coscinodiscophyceae Guinardia Guinardia delicatula, 0.0000000000, 0.0000000000
203, 202, ASV 3445 Root Eukaryota Stramenopiles Ochrophyta Bacillariophyta Bacillariophyta X Radial-centric-basal-Coscinodiscophyceae Guinardia Guinardia solstherfothii, 0.0000000000, 0.0000000000
204, ASV 353 Root Eukaryota Hacrobia Haptophyta Prymnesiophyceae Prymnesiales Chrysochromulinaceae Chrysochromulina Chrysochromulina sp., ASV 606 Root Eukaryota Hacrobia Haptophyta Prymnesiophyceae Prymnesiales Chrysochromulinaceae Chrysochromulina Chrysochromulina sp., 0.0000000000, 0.0000000000
205, ASV 235 Root Eukaryota Archaeplastida Chlorophyta Mamiellophyceae Dolichomastigales Crustomastigaceae Crustomastigaceae X Crustomastigaceae X sp., 193, 0.0000000000, 0.0000000000
206, 183, 205, 0.0000000000, 0.0000000000
207, ASV 725 Root Eukaryota Stramenopiles Ochrophyta Chrysophyceae Chrysophyceae X Chrysophyceae Clade-H Chrysophyceae Clade-H X Chrysophyceae Clade-H X sp., ASV 1218 Root Eukaryota Stramenopiles Ochrophyta Chrysophyceae Chrysophyceae X Chrysophyceae Clade-H Chrysophyceae Clade-H X Chrysophyceae Clade-H X sp., 0.0000000000, 0.0000000000
208, ASV 1364 Root Eukaryota Stramenopiles Ochrophyta Chrysophyceae Chrysophyceae X Chrysophyceae Clade-H Chrysophyceae Clade-H X Chrysophyceae Clade-H X sp., 207, 0.0000000000, 0.0000000000
209, ASV 3447 Root Eukaryota Stramenopiles Ochrophyta Chrysophyceae Chrysophyceae X Chrysophyceae Clade-H Chrysophyceae Clade-H X Chrysophyceae Clade-H X sp., 208, 0.0000000000, 0.0000000000
210, 184, 209, 0.0000000000, 0.0000000000
211, ASV 2990 Root Eukaryota Stramenopiles Ochrophyta Chrysophyceae Chrysophyceae X Chrysophyceae Clade-H Chrysophyceae Clade-H X Chrysophyceae Clade-H X sp., 210, 0.0000000000, 0.0000000000
212, ASV 412 Root Eukaryota Stramenopiles Ochrophyta Chrysophyceae Chrysophyceae X Chrysophyceae Clade-F Paraphysomonas Paraphysomonas imperforata, 211, 0.0000000000, 0.0000000000
213, ASV 82 Root Eukaryota Stramenopiles Ochrophyta Pelagophyceae Pelagomonadales Pelagomonadales clade B Pelagomonadales clade B1 Pelagomonadales clade B1 sp., ASV 106 Root Eukaryota Stramenopiles Ochrophyta Pelagophyceae Pelagomonadales Pelagomonadales clade B Pelagomonadales clade B1 Pelagomonadales clade B1 sp., 0.0000000000, 0.0000000000
214, 213, 173, 0.0000000000, 0.0000000000
215, ASV 18 Root Eukaryota Stramenopiles Ochrophyta Bacillariophyta Bacillariophyta X Radial-centric-basal-Coscinodiscophyceae Rhizosolenia Rhizosolenia delicatula, ASV 28 Root Eukaryota Stramenopiles Ochrophyta Bacillariophyta Bacillariophyta X Radial-centric-basal-Coscinodiscophyceae Rhizosolenia Rhizosolenia delicatula, 0.0000000000, 0.0000000000
216, 215, ASV 2520 Root Eukaryota Stramenopiles Ochrophyta Bacillariophyta Bacillariophyta X Radial-centric-basal-Coscinodiscophyceae Rhizosolenia Rhizosolenia delicatula, 0.0000000000, 0.0000000000
217, 216, 163, 0.0000000000, 0.0000000000
218, 217, ASV 2113 Root Eukaryota Stramenopiles Ochrophyta Bacillariophyta Bacillariophyta X Radial-centric-basal-Coscinodiscophyceae Rhizosolenia Rhizosolenia imbricata, 0.0000000000, 0.0000000000
219, 218, ASV 806 Root Eukaryota:nucl Hacrobia:nucl Cryptophyta:nucl Cryptophyceae:nucl Cryptomonadales:nucl Hemiselmidaceae:nucl Hemiselmis:nucl Hemiselmis sp.:nucl, 0.0000000000, 0.0000000000
220, 219, 160, 0.0000000000, 0.0000000000
221, ASV 835 Root Eukaryota Stramenopiles Ochrophyta Pelagophyceae Pelagomonadales Pelagomonadaceae Pelagomonas Pelagomonas calceolata, ASV 1091 Root Eukaryota Stramenopiles Ochrophyta Pelagophyceae Pelagomonadales Pelagomonadaceae Pelagomonas Pelagomonas calceolata, 0.0000000000, 0.0000000000
222, 221, 176, 0.0000000000, 0.0000000000
223, ASV 4 Root Eukaryota Archaeplastida Chlorophyta Mamiellophyceae Mamiellales Bathycoccaceae Ostreococcus Ostreococcus lucimarinus, ASV 63 Root Eukaryota Archaeplastida Chlorophyta Mamiellophyceae Mamiellales Bathycoccaceae Ostreococcus Ostreococcus lucimarinus, 0.0000000000, 0.0000000000
224, ASV 382 Root Eukaryota Archaeplastida Chlorophyta Chloropicophyceae Chloropicales Chloropicaceae Chloroparvula Chloroparvula pacifica, ASV 501 Root Eukaryota Archaeplastida Chlorophyta Chloropicophyceae Chloropicales Chloropicaceae Chloroparvula Chloroparvula pacifica, 0.0000000000, 0.0000000000
225, ASV 668 Root Eukaryota Stramenopiles Ochrophyta Pelagophyceae Pelagomonadales Pelagomonadaceae Pelagomonadaceae clade C Pelagomonadaceae clade C sp., ASV 1004 Root Eukaryota Stramenopiles Ochrophyta Pelagophyceae Pelagomonadales Pelagomonadaceae Pelagomonadaceae clade C Pelagomonadaceae clade C sp., 0.0000000000, 0.0000000000
226, 225, 174, 0.0000000000, 0.0000000000
227, ASV 1153 Root Eukaryota Archaeplastida Chlorophyta Mamiellophyceae Mamiellales Mamiellaceae Micromonas Micromonas bravo B2, 189, 0.0000000000, 0.0000000000
228, ASV 1173 Root Eukaryota Archaeplastida Chlorophyta Mamiellophyceae Mamiellales Mamiellaceae Micromonas Micromonas bravo B2, 227, 0.0000000000, 0.0000000000
229, ASV 152 Root Eukaryota Stramenopiles Ochrophyta Pelagophyceae Pelagomonadales Pelagomonadaceae Aureococcus Aureococcus anophagefferens, ASV 193 Root Eukaryota Stramenopiles Ochrophyta Pelagophyceae Pelagomonadales Pelagomonadaceae Aureococcus Aureococcus anophagefferens, 0.0000000000, 0.0000000000
230, 229, 182, 0.0000000000, 0.0000000000
231, 214, 230, 0.0000000000, 0.0000000000
232, 226, 231, 0.0000000000, 0.0000000000
