"";"C1_2017.08";"C1_2018.02";"C1_2018.08";"C2_2017.08";"C2_2018.02";"C2_2018.08";"C3_2017.08";"C3_2018.02";"C3_2018.08";"C4_2017.08";"C4_2018.02";"C4_2018.08";"F1_2017.08";"F1_2018.02";"F1_2018.08";"F2_2017.08";"F2_2018.02";"F2_2018.08";"F3_2017.08";"F3_2018.02";"F3_2018.08";"F4_2017.08";"F4_2018.02";"F4_2018.08";"H1_2017.08";"H1_2018.02";"H1_2018.08";"H2_2017.08";"H2_2018.02";"H2_2018.08";"H3_2017.08";"H3_2018.02";"H3_2018.08";"H4_2017.08";"H4_2018.02";"H4_2018.08";"P1_2018.02";"P1_2018.08";"P2_2018.02";"P3_2018.02";"P4_2018.02"
"ASV_15_Micromonas_bravo_B1";234;340;49;0;52;33;0;89;72;0;218;130;434;0;50;587;31;108;204;37;34;97;53;134;285;657;64;323;518;73;254;815;60;347;841;105;484;17;575;414;592
"ASV_21_Micromonas_commoda_A2";0;47;100;0;6;71;0;4;167;0;5;284;86;0;92;125;31;188;46;52;59;5;45;185;113;513;300;147;501;304;178;686;276;230;686;403;426;57;400;285;393
"ASV_1480_Triparma_laevis_clade";0;0;10;0;0;0;0;0;0;0;0;0;12;0;0;0;7;0;0;0;0;0;0;0;0;16;0;0;0;0;0;13;0;0;0;0;0;0;0;0;15
"ASV_2201_Rhodomonas_sp.";0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;6;0;0;4;0;0;2;0;0;2;0;5;0;3;0;0
"ASV_26_Micromonas_bravo_B1";181;221;19;23;89;16;24;66;63;0;153;71;344;10;46;344;14;79;161;34;29;57;45;90;161;424;64;220;370;39;198;543;50;261;622;64;352;0;419;299;442
"ASV_359_Ostreococcus_lucimarinus";0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;51;0;51;0;0;0;111;0;0;104;0;63;0;0;0;41;25;30
"ASV_116_Pelagomonadales_clade_B1_sp.";0;3;268;0;2;140;0;0;381;0;0;584;0;0;34;5;0;79;3;6;14;0;4;58;4;6;101;5;12;142;5;3;61;15;6;254;37;12;35;17;22
"ASV_576_Parmales_env_3A_sp.";0;0;0;0;0;7;0;0;0;0;0;82;40;0;6;0;14;25;0;41;0;8;12;0;0;0;28;0;0;0;0;0;0;11;0;19;0;54;0;0;0
"ASV_84_Pycnococcaceae_X_sp.";20;517;0;25;238;0;48;97;0;0;123;0;0;74;126;206;94;38;114;86;163;139;63;49;68;0;0;0;0;0;26;43;0;73;87;0;0;84;51;72;33
"ASV_2098_Crustomastigaceae_X_sp.";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;3;1;0;0;2;0;0;0;0;1;0;3;3;1;0;1;0;5;2;3;1;0;2;1;4
"ASV_382_Chloroparvula_pacifica";0;5;136;0;0;220;0;6;27;0;0;70;0;0;32;0;4;7;0;2;46;0;0;15;0;0;0;0;0;0;0;0;1;0;0;11;2;0;8;2;4
"ASV_56_Chloroparvula_pacifica";0;124;269;0;35;426;0;0;121;0;27;107;0;22;609;13;57;216;0;22;702;0;0;176;0;0;81;0;23;52;0;37;83;0;0;389;209;44;173;51;137
"ASV_835_Pelagomonas_calceolata";0;0;40;0;0;25;0;0;20;0;0;35;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;12;0;13
"ASV_112_Teleaulax_sp.";0;50;87;0;24;50;0;0;125;0;3;141;35;3;74;76;13;70;21;49;31;5;24;137;24;18;57;22;60;53;78;82;61;116;57;132;63;13;169;114;100
